,location,district,rooms,size,level,max_levels,price
787,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,80,1,5,60000
788,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,79,5,5,42000
789,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,48,2,5,35500
790,"город Ташкент, Чиланзарский район, Хамза",Чиланзарский,2,60,3,5,39800
791,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,5,9,38500
792,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,60,3,5,39000
793,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,55,2,4,34500
794,"город Ташкент, Олмазорский район, 1-й проезд Карасарай",Олмазорский,1,40,6,9,28000
795,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42,2,4,44000
796,"город Ташкент, Яккасарайский район, 1-й проезд Андижон",Яккасарайский,2,5,1,4,50000
797,"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50,1,4,30000
798,"город Ташкент, Яккасарайский район, Урикзор",Яккасарайский,3,110,9,9,78000
799,"город Ташкент, Яккасарайский район, Урикзор",Яккасарайский,2,72,8,9,51500
800,"город Ташкент, Яккасарайский район, Урикзор",Яккасарайский,1,59,7,9,Договорная
801,"город Ташкент, Яккасарайский район, Ракат",Яккасарайский,1,47,7,9,34000
802,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,72,9,9,43500
803,"город Ташкент, Чиланзарский район, Чиланзар-2",Чиланзарский,1,30,2,4,24000
804,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,4,118,3,12,108417
805,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,4,100,2,9,85000
806,"город Ташкент, Учтепинский район, Чиланзар  11 квартал",Учтепинский,1,35,3,4,26800
807,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,75,8,9,75000
808,"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,3,65,4,4,38500
809,"город Ташкент, Чиланзарский район, Чиланзар-11",Чиланзарский,2,50,2,4,31500
810,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,58,4,4,36500
811,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,2,50,3,4,35500
812,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,5,9,37500
813,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,36,2,4,26500
814,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,1,5,28500
815,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,4,4,26500
816,"город Ташкент, Шайхантахурский район, 1-й проезд Джарарык",Шайхантахурский,4,96,2,9,72000
817,"город Ташкент, Юнусабадский район, 1-й проезд Кургон",Юнусабадский,4,82,1,4,80000
818,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,1,43,2,4,25000
819,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,56,4,5,29600
820,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,64,5,9,32000
821,"город Ташкент, Мирабадский район, Авиа кассы, Нукусская. Метро Ташкент",Мирабадский,2,65,7,9,48000
822,"город Ташкент, Олмазорский район, Бешкурган-4 (Тансикбаев) ",Олмазорский,4,84,5,5,47000
823,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,4,140,2,12,128631
824,"город Ташкент, Юнусабадский район, 1-й проезд Октепа",Юнусабадский,3,45,4,9,27500
825,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,2,48,1,4,36500
826,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,53.06,3,7,53000
827,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,50,2,5,34000
828,"город Ташкент, Яшнободский район, 1-й Муйнакский проезд",Яшнободский,3,63,5,5,45000
829,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,5,110,2,4,85000
830,"город Ташкент, Юнусабадский район, Мурувват",Юнусабадский,3,67,4,4,40000
831,"город Ташкент, Олмазорский район, Тахтапуль",Олмазорский,4,91,5,5,55000
832,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,2,53,5,5,32000
833,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,1,34,1,4,27000
834,"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,68,4,4,56500
835,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,1,46,3,4,26800
836,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,68,3,5,53000
837,"город Ташкент, Яшнободский район, Авиасозлар 3",Яшнободский,3,62.50,1,4,46500
838,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Сайрам",Мирзо-Улугбекский,1,30,1,2,18500
839,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,2,43,1,4,29800
840,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63,2,5,42000
841,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,92.50,2,9,70000
842,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,51,3,4,34500
843,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,3,65,4,4,46500
844,"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,3,110,7,9,127000
845,"город Ташкент, Сергелийский район, населённый пункт Закиров",Сергелийский,2,84,3,9,33500
846,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,68,4,5,42000
847,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,45,4,4,34500
848,"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,4,120,1,5,135000
849,"город Ташкент, Сергелийский район, Сергели 6а",Сергелийский,3,82,3,7,55000
850,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,96,2,4,74000
851,"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,1,41,5,9,31500
852,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,7,203,8,9,98979
853,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,64,4,12,58803
854,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,80,5,6,56500
855,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46,3,4,33500
856,"город Ташкент, Юнусабадский район, Юнусабад-16",Юнусабадский,4,82,1,9,65000
857,"город Ташкент, Мирзо-Улугбекский район, Мирзакалон Исмоилий",Мирзо-Улугбекский,3,113.60,2,5,115000
858,"город Ташкент, Шайхантахурский район, Хадра",Шайхантахурский,3,75,7,9,57000
859,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42,3,4,47000
860,"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,60,3,4,53000
861,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,61,4,5,39000
862,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,2,60,3,4,73000
863,"город Ташкент, Шайхантахурский район, Саидакбара Косимова",Шайхантахурский,3,75,1,9,78000
864,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,70,2,4,65000
865,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,4,96,9,12,62000
866,"город Ташкент, Юнусабадский район, Юнусабад-19",Юнусабадский,4,90,7,9,53000
867,"город Ташкент, Мирзо-Улугбекский район, ТТЗ-2",Мирзо-Улугбекский,2,55,4,4,31500
868,"город Ташкент, Чиланзарский район, 1-й проезд Токзор",Чиланзарский,2,58,4,5,30000
869,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,62,2,4,40500
870,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,47,4,5,37000
871,"город Ташкент, Чиланзарский район, Чиланзар  19 квартал",Чиланзарский,2,45,1,4,33500
872,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,1,28,4,5,23999
873,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,78,4,4,Договорная
874,"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,3,65,3,4,54000
875,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,70,4,4,52000
876,"город Ташкент, Чиланзарский район, Чопан ота",Чиланзарский,2,56,4,4,35000
877,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,75,1,4,52000
878,"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,3,110,5,5,95000
879,"город Ташкент, Яккасарайский район, Мирабад",Яккасарайский,3,85,2,4,110000
880,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44,3,4,Договорная
881,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,5,246,8,9,119991
882,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,8,9,Договорная
883,"город Ташкент, Чиланзарский район, Малая кольцевая дорога",Чиланзарский,3,79,4,4,Договорная
884,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110,2,8,169000
885,"город Ташкент, Учтепинский район, 1-й проезд Кувнок",Учтепинский,4,96,1,4,75000
886,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50,1,4,Договорная
887,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,50,1,4,31000
888,"город Ташкент, Шайхантахурский район, Богкуча",Шайхантахурский,3,70,1,9,50000
889,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,60,4,4,44000
890,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.05,5,11,62338
891,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,121,5,9,75475
892,"город Ташкент, Яшнободский район, жилой комплекс Assalom",Яшнободский,3,74,8,9,Договорная
893,"город Ташкент, Юнусабадский район, Шарафабад",Юнусабадский,2,99,1,9,115000
894,"город Ташкент, Яшнободский район, Лисунова-1 кадышева",Яшнободский,1,40,8,9,20500
895,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50,4,4,37000
896,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50,4,4,31000
897,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,3,80,4,5,56000
898,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,68,5,5,44500
899,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,4,83,4,4,75000
900,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,80,9,12,42000
901,"город Ташкент, Учтепинский район, Изза",Учтепинский,4,100,9,9,50000
902,"город Ташкент, Учтепинский район, Изза",Учтепинский,3,90,1,9,75000
903,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,4,92,4,4,61000
904,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,72,7,9,44500
905,"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,110,4,9,71000
906,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,4,82,4,5,50000
907,"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,4,84,5,5,47500
908,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,125,4,4,78000
909,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,4,80,1,9,90000
910,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,80,6,9,63000
911,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,72,4,4,45000
912,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,7,9,47000
913,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72,1,9,45500
914,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,70,1,12,40000
915,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70,1,4,48000
916,"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,77,5,9,47500
917,"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,3,65,3,4,45000
918,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,75,2,9,47500
919,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,70,2,5,52000
920,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65,3,4,49000
921,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65,4,4,51000
922,"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,75,9,9,63500
923,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,60,4,4,45000
924,"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,72,7,9,70000
925,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,50,4,4,37500
926,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,45,5,5,34000
927,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.65,7,11,60675
928,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,2,60,7,9,39997
929,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,4,22500
930,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,46,2,4,52000
931,"город Ташкент, Чиланзарский район, Аль-Хорезми-1",Чиланзарский,3,70,9,9,36000
932,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,58,8,9,35000
933,"город Ташкент, Яккасарайский район, 8 Марта",Яккасарайский,2,48,1,4,38500
934,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,3,80,5,9,68000
935,"город Ташкент, Яшнободский район, Паркент",Яшнободский,4,110,7,9,68614
936,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,129.14,5,11,92479
937,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,44,2,9,27000
938,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,50,3,5,46000
939,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,5,116,3,9,87000
940,"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",Юнусабадский,2,46,3,4,37000
941,"город Ташкент, Мирзо-Улугбекский район, Оккургон",Мирзо-Улугбекский,4,120,2,8,190000
942,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,35,1,5,27000
943,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50,1,5,34500
944,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,1,4,26500
945,"город Ташкент, Чиланзарский район, Чиланзар-1",Чиланзарский,2,56,2,5,38000
946,"город Ташкент, Чиланзарский район, Хамза",Чиланзарский,2,60,2,5,42000
947,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,42500
948,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,36,4,4,24500
949,"город Ташкент, Учтепинский район",Учтепинский,2,54,2,4,37000
950,"город Ташкент, Чиланзарский район, Чиланзар-13",Чиланзарский,2,56,3,5,36000
951,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,29500
952,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,3,4,33500
953,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,36,2,5,27500
954,"город Ташкент, Чиланзарский район, Чиланзар 3-й квартал",Чиланзарский,2,44,4,4,36000
955,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,3,65,1,4,54000
956,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,2,5,52000
957,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,46,3,4,35000
958,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,4,105,2,9,135000
959,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,54,2,4,40000
960,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,42,2,4,39000
961,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,108.27,5,11,77534
962,"город Ташкент, Чиланзарский район, Арнасай",Чиланзарский,3,68,4,4,39500
963,"город Ташкент, Учтепинский район, Изза",Учтепинский,3,77,4,5,43500
964,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,3,78,4,5,46000
965,"город Ташкент, Юнусабадский район, 135А",Юнусабадский,3,65,7,9,48000
966,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,90,2,9,51000
967,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,78,5,5,39000
968,"город Ташкент, Яшнободский район, Паркент",Яшнободский,3,75,6,9,55000
969,"город Ташкент, Мирзо-Улугбекский район, Массив Ялангач",Мирзо-Улугбекский,1,28,4,4,23500
970,"город Ташкент, Шайхантахурский район, Ибн Сина-1",Шайхантахурский,3,70,3,5,40000
971,"город Ташкент, Мирабадский район, Куйлюк-Ата",Мирабадский,4,140,2,2,58000
972,"город Ташкент, Олмазорский район, Олимпия",Олмазорский,2,57,1,4,32000
973,"город Ташкент, Юнусабадский район, Кашкар",Юнусабадский,2,65,3,9,62000
974,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70,3,4,45500
975,"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,1,18,3,4,12500
976,"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50,1,4,30000
977,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,40,5,5,31500
978,"город Ташкент, Мирабадский район, Фаровон",Мирабадский,4,120,9,10,119900
979,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,103,4,9,65000
980,"город Ташкент, Мирабадский район, Чехова",Мирабадский,3,110,2,7,165000
981,"город Ташкент, Мирабадский район, Массив Куйлюк -1",Мирабадский,3,7359,2,4,46500
982,"город Ташкент, Олмазорский район, 1-й проезд Чимбой",Олмазорский,3,70,6,9,46000
983,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,1,27,3,3,19500
984,"город Ташкент, Мирабадский район, ул.Нукус",Мирабадский,3,100,5,6,115000
985,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,78,5,5,47500
986,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,65,3,4,66000
987,"город Ташкент, Чиланзарский район, Чилонзор 17",Чиланзарский,4,79,3,4,57000
988,"город Ташкент, Яккасарайский район, Дамарик",Яккасарайский,5,196,3,6,Договорная
989,"город Ташкент, Яшнободский район, Боткина",Яшнободский,2,60,4,9,35900
990,"город Ташкент, Мирзо-Улугбекский район, Олой",Мирзо-Улугбекский,3,78,4,4,54996
991,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,42,4,5,28500
992,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,3,68,2,5,53000
993,"город Ташкент, Чиланзарский район, Дийдор",Чиланзарский,3,94,3,4,57000
994,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,1,32,2,4,24500
995,"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,2,50,2,4,30500
996,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,63,4,4,42000
997,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,1,47,4,4,52500
998,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,103,4,9,77000
999,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,70,4,4,57000
1000,"город Ташкент, Мирзо-Улугбекский район, Ц-2",Мирзо-Улугбекский,3,75,3,4,90000
1001,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,48,3,5,47000
1002,"город Ташкент, Шайхантахурский район, Шофайзи",Шайхантахурский,1,70,6,7,60000
1003,"город Ташкент, Мирзо-Улугбекский район, Феруза-3",Мирзо-Улугбекский,2,50,1,5,35000
1004,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,2,69,9,9,37000
1005,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,104,3,12,61000
1006,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,2,48,4,4,42200
1007,"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,4,76,4,4,40000
1008,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,67,3,5,63000
1009,"город Ташкент, Мирабадский район, Мирабад",Мирабадский,3,92,2,9,89000
1010,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,2,85,6,9,51000
1011,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,42,2,5,33500
1012,"город Ташкент, Яшнободский район, Эльбека",Яшнободский,2,60,2,9,56000
1013,"город Ташкент, Олмазорский район, 1-й проезд Нозимахоним",Олмазорский,3,110,2,2,55000
1014,"город Ташкент, Мирабадский район, Нукус",Мирабадский,3,80,3,4,83000
1015,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,1,60,3,9,48000
1016,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,4,76,4,4,45000
1017,"город Ташкент, Мирзо-Улугбекский район, Мирзо Улугбека",Мирзо-Улугбекский,2,50,5,5,35500
1018,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,62,4,4,39000
1019,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,1,40,3,4,27000
1020,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,2,55,4,4,34998
1021,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89,9,12,77469
1022,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,1,30,4,4,20500
1023,"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,48,4,4,33500
1024,"город Ташкент, Яшнободский район, жилой комплекс Обод Макон",Яшнободский,3,60,3,5,37000
1025,"город Ташкент, Шайхантахурский район, Ул.увайсий",Шайхантахурский,3,65,1,4,45000
1026,"город Ташкент, Мирабадский район, Якуба Коласа",Мирабадский,3,80,4,4,78000
1027,"город Ташкент, Сергелийский район, Янги Чоштепа",Сергелийский,3,73,4,7,Договорная
1028,"город Ташкент, Шайхантахурский район, Хадра",Шайхантахурский,3,75,8,9,52000
1029,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",Мирзо-Улугбекский,3,70,4,5,55000
1030,"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,3,90,4,12,44000
1031,"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,1,45,5,12,31000
1032,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,96,2,4,71000
1033,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,42,3,4,33000
1034,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,100,6,9,67500
1035,"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-1",Чиланзарский,6,134,7,9,78000
1036,"город Ташкент, Мирзо-Улугбекский район, Художников, Буз-1, единое окно",Мирзо-Улугбекский,2,55,4,5,37000
1037,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,70,4,4,59000
1038,"город Ташкент, Шайхантахурский район, Кинотеатр Гунча",Шайхантахурский,3,79,3,4,48000
1039,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,3,65,9,9,58000
1040,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,128.66,5,11,92135
1041,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,1,18,3,3,17500
1042,"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,1,44,2,5,90000
1043,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,3,80,5,5,85000
1044,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,2,65,3,9,53000
1045,"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,2,70,2,7,73500
1046,"город Ташкент, Мирабадский район, Нукус",Мирабадский,2,65,5,9,70000
1047,"город Ташкент, Шайхантахурский район, Джарарык",Шайхантахурский,3,82,2,9,60000
1048,"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,3,120,3,4,130000
1049,"город Ташкент, Яшнободский район, Сандикли",Яшнободский,2,77,4,5,47000
1050,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,3,70,4,4,56000
1051,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,120,9,10,56000
1052,"город Ташкент, Юнусабадский район, проспект Амира Темура",Юнусабадский,3,105,4,4,65000
1053,"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,55,1,4,63000
1054,"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,3,72,1,4,47500
1055,"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",Юнусабадский,3,78,8,9,39000
1056,"город Ташкент, Мирзо-Улугбекский район, 1-й переулок Дархан",Мирзо-Улугбекский,2,62,1,9,55700
1057,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,95,4,4,80000
1058,"город Ташкент, Олмазорский район, 1-й проезд Нозимахоним",Олмазорский,3,97.30,2,2,50000
1059,"город Ташкент, Юнусабадский район, Джавахарлала Неру",Юнусабадский,3,75,9,10,72000
1060,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,49,2,4,33500
1061,"город Ташкент, Шайхантахурский район, Бешагач",Шайхантахурский,3,75,2,4,70000
1062,"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,67,2,9,40200
1063,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,93,2,4,115000
1064,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,2,60,3,5,45000
1065,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,42,4,5,28500
1066,"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,100,5,9,78000
