,district,rooms,size,level,max_levels,price
1524,Чиланзарский,1,43.0,4,9,35000.0
1525,Учтепинский,4,95.0,1,5,126000.0
1526,Чиланзарский,6,136.0,2,4,94000.0
1527,Чиланзарский,4,100.0,5,9,90000.0
1528,Чиланзарский,4,180.0,6,9,150000.0
1529,Чиланзарский,3,75.0,7,9,44500.0
1530,Чиланзарский,5,206.0,1,9,190000.0
1531,Олмазорский,2,50.0,4,4,33500.0
1532,Чиланзарский,1,27.0,4,4,24000.0
1533,Мирабадский,3,92.0,9,9,60000.0
1534,Олмазорский,4,110.0,1,2,60000.0
1535,Мирзо-Улугбекский,3,83.0,5,8,95000.0
1536,Яшнободский,2,62.0,2,7,52000.0
1537,Яккасарайский,3,75.0,1,4,72000.0
1538,Мирзо-Улугбекский,3,78.0,1,4,39900.0
1539,Юнусабадский,4,90.0,5,5,65000.0
1540,Чиланзарский,2,47.0,1,4,35000.0
1541,Яккасарайский,1,47.0,7,9,
1542,Яшнободский,3,80.0,7,8,70000.0
1543,Яшнободский,2,58.5,3,6,23513.0
1544,Юнусабадский,3,110.0,7,9,118500.0
1545,Мирзо-Улугбекский,3,75.0,3,4,75000.0
1546,Мирзо-Улугбекский,3,76.0,3,4,75000.0
1547,Учтепинский,2,53.0,1,4,34500.0
1548,Мирзо-Улугбекский,2,53.0,1,7,45000.0
1549,Олмазорский,3,97.3,1,2,50000.0
1550,Шайхантахурский,4,90.0,4,4,65000.0
1551,Мирзо-Улугбекский,1,40.0,3,3,35000.0
1552,Яшнободский,3,70.0,4,5,45500.0
1553,Мирабадский,4,280.0,4,8,320000.0
1554,Мирзо-Улугбекский,4,92.0,2,5,60000.0
1555,Мирзо-Улугбекский,3,125.0,1,4,130000.0
1556,Чиланзарский,3,78.0,2,7,64500.0
1557,Юнусабадский,10,448.0,7,7,425600.0
1558,Яккасарайский,6,180.0,1,5,220000.0
1559,Бектемирский,3,75.0,8,9,33000.0
1560,Олмазорский,4,110.0,1,2,60000.0
1561,Мирабадский,2,60.0,2,4,43500.0
1562,Мирабадский,1,50.0,9,10,52500.0
1563,Чиланзарский,2,40.0,5,5,20000.0
1564,Мирзо-Улугбекский,1,26.0,1,3,18000.0
1565,Мирзо-Улугбекский,3,115.0,4,4,87000.0
1566,Шайхантахурский,3,75.0,3,4,61000.0
1567,Юнусабадский,3,77.0,3,5,40000.0
1568,Яккасарайский,2,65.0,5,9,52000.0
1569,Шайхантахурский,2,70.0,5,7,56000.0
1570,Яккасарайский,3,90.0,12,16,49900.0
1571,Сергелийский,2,49.0,3,7,35000.0
1572,Шайхантахурский,5,136.0,2,5,97000.0
1573,Чиланзарский,3,75.0,2,4,53000.0
1574,Шайхантахурский,3,65.0,4,4,48000.0
1575,Юнусабадский,5,125.0,4,9,67000.0
1576,Юнусабадский,4,100.0,2,9,57000.0
1577,Юнусабадский,3,70.0,1,4,57000.0
1578,Мирзо-Улугбекский,3,85.0,2,3,55000.0
1579,Мирабадский,2,90.0,7,9,90000.0
1580,Учтепинский,3,68.0,4,5,42800.0
1581,Юнусабадский,5,100.0,4,5,59000.0
1582,Юнусабадский,1,41.0,2,4,26500.0
1583,Олмазорский,3,94.0,9,9,70000.0
1584,Мирабадский,3,82.0,6,10,63000.0
1585,Юнусабадский,2,52.0,3,4,60000.0
1586,Мирабадский,1,45.0,3,9,56500.0
1587,Юнусабадский,5,118.0,8,9,61000.0
1588,Янгихаётский,5,1.0,6,9,45000.0
1589,Мирзо-Улугбекский,2,64.4,12,12,32000.0
1590,Мирзо-Улугбекский,5,248.0,8,9,387000.0
1591,Мирзо-Улугбекский,4,160.0,8,8,160000.0
1592,Юнусабадский,1,36.0,1,4,23000.0
1593,Чиланзарский,4,120.0,5,5,110000.0
1594,Мирабадский,2,60.0,4,9,70000.0
1595,Мирабадский,4,187.0,4,6,145000.0
1596,Яккасарайский,2,60.0,3,5,57000.0
1597,Юнусабадский,4,96.0,7,9,49900.0
1598,Сергелийский,3,80.0,3,9,39000.0
1599,Яккасарайский,2,48.0,4,5,45000.0
1600,Мирзо-Улугбекский,1,32.0,3,4,22500.0
1601,Олмазорский,3,82.0,2,7,
1602,Мирзо-Улугбекский,3,90.0,2,9,50000.0
1603,Юнусабадский,2,77.0,6,6,62000.0
1604,Учтепинский,2,48.0,5,5,30000.0
1605,Яшнободский,2,65.0,2,9,65000.0
1606,Яшнободский,2,50.0,1,4,37000.0
1607,Яшнободский,3,73.0,4,4,34000.0
1608,Мирзо-Улугбекский,3,67.0,4,4,32000.0
1609,Мирабадский,4,107.0,8,9,100000.0
1610,Мирабадский,3,132.0,3,4,65000.0
1611,Чиланзарский,2,52.0,4,4,40000.0
1612,Чиланзарский,3,63.0,3,4,42000.0
1613,Мирзо-Улугбекский,3,78.0,3,4,53000.0
1614,Мирзо-Улугбекский,4,90.0,4,4,75000.0
1615,Шайхантахурский,5,235.0,1,2,140000.0
1616,Мирабадский,3,135.0,3,8,95000.0
1617,Юнусабадский,1,38.0,1,4,26000.0
1618,Мирзо-Улугбекский,3,80.0,4,4,90000.0
1619,Мирзо-Улугбекский,1,38.0,3,4,22500.0
1620,Мирзо-Улугбекский,2,48.0,1,4,29400.0
1621,Яшнободский,3,80.0,6,12,40000.0
1622,Олмазорский,3,113.0,4,4,63000.0
1623,Олмазорский,2,56.0,4,4,32200.0
1624,Юнусабадский,2,61.0,3,4,75000.0
1625,Мирзо-Улугбекский,2,48.0,2,4,31500.0
1626,Мирзо-Улугбекский,3,65.0,4,4,34998.0
1627,Юнусабадский,4,117.0,1,8,135000.0
1628,Яккасарайский,2,56.0,2,5,33500.0
1629,Олмазорский,2,56.0,2,4,32900.0
1630,Мирзо-Улугбекский,3,70.0,3,5,36000.0
1631,Яккасарайский,3,75.0,2,4,55000.0
1632,Шайхантахурский,3,72.0,4,12,45000.0
1633,Учтепинский,2,55.0,3,4,39000.0
1634,Мирзо-Улугбекский,2,50.0,3,4,28500.0
1635,Чиланзарский,2,54.0,3,4,34000.0
1636,Чиланзарский,3,67.0,4,4,45000.0
1637,Мирабадский,4,112.0,6,9,77000.0
1638,Мирзо-Улугбекский,4,145.0,2,5,160000.0
1639,Мирзо-Улугбекский,2,78.0,5,5,39000.0
1640,Янгихаётский,3,50.0,1,7,44600.0
1641,Учтепинский,2,52.0,4,5,28500.0
1642,Мирзо-Улугбекский,2,59.0,5,5,30000.0
1643,Чиланзарский,1,30.0,3,4,22300.0
1644,Мирзо-Улугбекский,2,60.0,4,5,30500.0
1645,Шайхантахурский,3,70.0,2,4,56000.0
1646,Юнусабадский,2,54.0,9,9,38000.0
1647,Мирзо-Улугбекский,2,53.0,1,5,62000.0
1648,Учтепинский,2,51.0,4,4,33500.0
1649,Шайхантахурский,6,268.0,1,3,260000.0
1650,Мирзо-Улугбекский,2,65.0,4,4,51000.0
1651,Яшнободский,3,78.0,5,6,32000.0
1652,Мирзо-Улугбекский,2,70.0,5,9,66000.0
1653,Мирабадский,2,65.0,3,4,75000.0
1654,Олмазорский,4,86.0,4,4,39500.0
1655,Яшнободский,2,58.41,3,6,23477.0
1656,Яккасарайский,1,39.0,2,5,27500.0
1657,Мирзо-Улугбекский,3,70.0,3,4,68000.0
1658,Шайхантахурский,3,110.0,7,7,125000.0
1659,Яккасарайский,2,52.0,3,5,63000.0
1660,Учтепинский,2,50.0,5,5,32000.0
1661,Мирабадский,2,65.0,7,9,49000.0
1662,Мирзо-Улугбекский,3,82.0,3,4,120000.0
1663,Мирабадский,3,103.0,4,8,103000.0
1664,Шайхантахурский,3,70.0,7,9,56000.0
1665,Мирзо-Улугбекский,2,50.0,3,4,36000.0
1666,Мирзо-Улугбекский,2,62.0,2,9,42000.0
1667,Мирабадский,2,53.0,9,10,46000.0
1668,Мирабадский,3,72.0,7,9,65000.0
1669,Яшнободский,3,88.0,5,9,73000.0
1670,Мирзо-Улугбекский,1,35.0,4,5,33000.0
1671,Мирзо-Улугбекский,4,93.0,2,5,46500.0
1672,Юнусабадский,2,60.0,3,4,33500.0
1673,Мирабадский,3,103.0,7,8,96000.0
1674,Яккасарайский,3,265.0,1,9,198750.0
1675,Мирабадский,8,350.0,2,12,260000.0
1676,Шайхантахурский,3,70.0,1,4,65000.0
1677,Яккасарайский,4,115.0,1,4,135000.0
1678,Юнусабадский,4,91.62,4,5,49000.0
1679,Мирабадский,3,100.0,5,9,100000.0
1680,Яккасарайский,4,120.0,1,4,135000.0
1681,Мирабадский,3,85.0,3,9,82000.0
1682,Мирабадский,3,85.0,5,9,74000.0
1683,Яшнободский,2,58.1,10,11,25907.0
1684,Яккасарайский,3,90.0,3,3,75000.0
1685,Яшнободский,2,82.57,9,9,67000.0
1686,Олмазорский,1,40.52,5,5,22000.0
1687,Чиланзарский,3,115.0,1,9,100000.0
1688,Мирзо-Улугбекский,2,56.0,2,2,30000.0
1689,Чиланзарский,2,68.4,4,9,58500.0
1690,Мирабадский,2,67.0,6,9,51000.0
1691,Мирзо-Улугбекский,2,57.0,9,9,31000.0
1692,Юнусабадский,3,115.0,5,8,195000.0
1693,Яшнободский,4,456.0,8,8,230000.0
1694,Мирабадский,4,184.0,8,8,280000.0
1695,Мирабадский,10,456.0,3,7,800000.0
1696,Мирзо-Улугбекский,10,330.0,1,4,130000.0
1697,Мирзо-Улугбекский,2,57.0,6,9,67000.0
1698,Яккасарайский,5,116.0,3,9,87000.0
1699,Яшнободский,1,35.0,2,9,23500.0
1700,Юнусабадский,5,254.0,1,8,285000.0
1701,Юнусабадский,6,252.0,1,8,285000.0
1702,Олмазорский,2,72.0,4,9,39500.0
1703,Юнусабадский,2,55.0,1,4,30500.0
1704,Чиланзарский,2,38.0,4,4,32000.0
1705,Мирзо-Улугбекский,1,30.0,3,4,25000.0
1706,Учтепинский,2,49.0,3,4,32500.0
1707,Юнусабадский,4,100.0,6,9,85000.0
1708,Олмазорский,3,70.0,3,4,40400.0
1709,Яккасарайский,1,64.0,8,12,55708.0
1710,Яшнободский,4,100.0,7,9,44900.0
1711,Мирзо-Улугбекский,1,41.0,2,4,38000.0
1712,Яшнободский,4,80.0,2,5,47000.0
1713,Яккасарайский,1,30.0,5,5,40500.0
1714,Чиланзарский,2,52.0,4,4,46500.0
1715,Мирабадский,2,62.0,1,9,62000.0
1716,Яккасарайский,2,51.0,5,5,53000.0
1717,Мирабадский,4,126.0,1,4,155000.0
1718,Яккасарайский,2,82.0,8,8,69900.0
1719,Мирзо-Улугбекский,6,208.0,1,7,280000.0
1720,Юнусабадский,1,50.0,7,9,37500.0
1721,Юнусабадский,4,82.0,1,4,85000.0
1722,Мирабадский,3,88.0,5,5,55000.0
1723,Мирабадский,3,85.0,5,9,74000.0
1724,Чиланзарский,1,27.0,3,3,19500.0
1725,Учтепинский,3,68.0,5,5,36200.0
1726,Мирзо-Улугбекский,3,70.0,4,4,41500.0
1727,Яккасарайский,1,46.0,1,5,36500.0
1728,Мирзо-Улугбекский,4,140.0,5,9,84000.0
1729,Шайхантахурский,5,96.0,1,5,75000.0
1730,Учтепинский,3,65.0,2,4,42000.0
1731,Юнусабадский,4,98.0,2,4,75000.0
1732,Юнусабадский,3,90.0,9,9,62000.0
1733,Мирабадский,3,90.0,3,5,102000.0
1734,Мирабадский,3,90.0,3,5,105000.0
1735,Яккасарайский,4,125.0,7,8,165000.0
1736,Мирзо-Улугбекский,2,60.0,1,9,63000.0
1737,Яккасарайский,2,60.0,3,4,43000.0
1738,Мирабадский,2,65.0,4,9,76000.0
1739,Чиланзарский,3,65.0,1,4,46500.0
1740,Учтепинский,2,45.0,3,4,31000.0
1741,Яшнободский,3,66.0,4,4,36000.0
1742,Юнусабадский,2,46.0,1,4,36000.0
1743,Яккасарайский,2,56.0,4,5,34500.0
1744,Олмазорский,3,84.0,1,5,3780000.0
1745,Мирзо-Улугбекский,3,78.0,3,5,55000.0
1746,Яшнободский,3,72.0,5,5,45000.0
1747,Яккасарайский,2,48.0,1,4,38000.0
1748,Олмазорский,3,56.0,1,2,27000.0
1749,Мирзо-Улугбекский,2,65.0,4,4,33000.0
1750,Мирабадский,3,75.0,6,9,110000.0
1751,Мирабадский,4,120.0,1,5,135000.0
1752,Мирзо-Улугбекский,1,46.0,2,9,42000.0
1753,Мирабадский,2,63.0,4,9,59999.0
1754,Учтепинский,1,37.0,2,4,26500.0
1755,Яккасарайский,4,104.0,4,5,78500.0
1756,Мирабадский,1,53.0,7,9,46500.0
1757,Мирабадский,3,85.0,3,4,85000.0
1758,Юнусабадский,4,82.0,3,4,75000.0
1759,Яккасарайский,4,82.0,5,5,47500.0
1760,Юнусабадский,3,70.0,4,4,63000.0
1761,Шайхантахурский,2,61.0,2,7,52500.0
1762,Мирзо-Улугбекский,2,65.0,4,5,65000.0
1763,Мирзо-Улугбекский,1,34.0,2,3,21600.0
1764,Юнусабадский,1,32.0,4,4,20000.0
1765,Учтепинский,2,56.0,2,5,33500.0
1766,Чиланзарский,1,36.0,4,4,24500.0
1767,Чиланзарский,1,32.0,1,4,26500.0
1768,Чиланзарский,2,46.0,2,4,35500.0
1769,Учтепинский,2,60.0,5,9,35000.0
1770,Чиланзарский,2,56.0,1,4,39500.0
1771,Чиланзарский,2,56.0,1,4,32500.0
1772,Яшнободский,3,84.0,4,6,37800.0
1773,Учтепинский,1,42.0,4,5,27500.0
1774,Учтепинский,1,42.0,4,5,25000.0
1775,Учтепинский,1,42.0,3,5,29500.0
1776,Мирабадский,4,184.0,8,8,280000.0
1777,Чиланзарский,3,61.0,3,4,51500.0
1778,Учтепинский,2,45.0,5,5,28500.0
1779,Чиланзарский,3,60.0,3,9,65000.0
1780,Яккасарайский,3,75.0,1,9,85000.0
1781,Яккасарайский,2,50.0,3,9,40000.0
1782,Олмазорский,1,42.0,3,4,35000.0
1783,Мирзо-Улугбекский,3,80.0,12,25,200000.0
1784,Шайхантахурский,3,80.0,9,9,85999.0
1785,Мирабадский,4,155.0,2,12,130000.0
1786,Юнусабадский,2,52.0,2,4,74000.0
1787,Сергелийский,6,130.0,5,9,75000.0
1788,Юнусабадский,3,111.0,6,9,110000.0
1789,Мирабадский,3,75.0,6,9,92000.0
1790,Мирзо-Улугбекский,3,68.0,3,4,82000.0
1791,Яккасарайский,5,116.0,3,9,87000.0
1792,Учтепинский,2,48.0,1,4,42000.0
1793,Чиланзарский,1,30.0,1,4,26700.0
1794,Мирабадский,3,72.0,4,9,80000.0
1795,Яккасарайский,2,50.0,3,5,65000.0
1796,Учтепинский,4,98.0,2,9,75000.0
1797,Яккасарайский,2,52.0,4,5,61000.0
1798,Мирабадский,2,62.0,5,9,76000.0
1799,Шайхантахурский,5,317.0,1,4,250000.0
1800,Шайхантахурский,3,70.0,5,9,58000.0
1801,Яшнободский,4,100.0,1,4,107000.0
1802,Яккасарайский,1,50.0,4,12,52000.0
1803,Мирзо-Улугбекский,4,92.0,2,4,65000.0
1804,Мирзо-Улугбекский,3,93.0,2,4,
1805,Чиланзарский,3,80.0,2,8,
1806,Мирабадский,3,120.0,3,8,125000.0
1807,Яккасарайский,2,42.0,4,4,40500.0
1808,Яккасарайский,2,55.0,3,9,50500.0
1809,Мирабадский,4,160.0,4,9,260000.0
1810,Яккасарайский,1,34.0,2,5,56000.0
1811,Мирабадский,2,58.0,2,4,62000.0
1812,Яшнободский,2,50.0,1,5,42000.0
1813,Мирзо-Улугбекский,3,131.0,2,8,165000.0
1814,Мирабадский,3,75.0,2,4,75000.0
1815,Учтепинский,3,70.0,3,4,40000.0
1816,Яшнободский,2,55.0,4,5,73500.0
1817,Юнусабадский,2,90.0,2,8,110000.0
1818,Мирзо-Улугбекский,2,60.0,1,9,58000.0
1819,Учтепинский,3,65.0,4,4,44500.0
1820,Чиланзарский,2,70.0,2,9,80000.0
1821,Учтепинский,2,46.0,2,4,37000.0
1822,Чиланзарский,2,50.0,1,4,35500.0
1823,Мирабадский,3,70.0,3,4,42000.0
1824,Юнусабадский,2,60.0,4,5,38000.0
1825,Мирабадский,4,182.0,5,8,290000.0
1826,Олмазорский,2,57.0,5,5,33000.0
1827,Мирзо-Улугбекский,6,400.0,1,2,2000.0
1828,Сергелийский,5,125.0,6,9,51000.0
1829,Чиланзарский,2,50.0,4,4,34000.0
1830,Юнусабадский,4,90.0,4,5,55000.0
1831,Сергелийский,5,310.0,9,9,57500.0
1832,Учтепинский,2,56.0,6,6,37500.0
1833,Олмазорский,2,59.0,5,5,33000.0
1834,Шайхантахурский,3,95.0,3,6,39000.0
1835,Учтепинский,4,96.0,5,9,49900.0
1836,Чиланзарский,2,48.0,1,4,39000.0
1837,Яшнободский,2,45.82,1,5,29000.0
1838,Чиланзарский,2,51.0,5,5,32500.0
1839,Мирзо-Улугбекский,3,70.0,4,4,75000.0
1840,Чиланзарский,1,37.0,1,4,26500.0
1841,Олмазорский,2,69.0,3,9,40795.0
1842,Юнусабадский,4,84.0,3,4,73000.0
1843,Олмазорский,3,69.33,2,4,46000.0
1844,Олмазорский,4,86.0,1,5,57000.0
1845,Чиланзарский,2,48.0,2,4,44000.0
1846,Чиланзарский,4,138.0,1,3,135000.0
1847,Мирзо-Улугбекский,1,42.0,2,4,62000.0
1848,Яккасарайский,3,105.0,1,8,112000.0
1849,Юнусабадский,3,80.0,1,10,90000.0
1850,Яккасарайский,3,80.0,1,10,90000.0
1851,Юнусабадский,2,54.0,2,4,58000.0
1852,Яккасарайский,3,75.0,3,9,53000.0
1853,Шайхантахурский,2,55.0,3,4,43000.0
1854,Яккасарайский,1,27.0,3,3,19500.0
1855,Олмазорский,2,50.0,1,9,37000.0
1856,Олмазорский,2,58.0,2,9,34000.0
1857,Мирзо-Улугбекский,2,45.0,3,3,26000.0
1858,Юнусабадский,1,45.0,5,5,24000.0
1859,Яшнободский,2,58.0,3,3,37000.0
1860,Мирзо-Улугбекский,3,74.0,4,4,51000.0
1861,Мирзо-Улугбекский,3,80.0,1,4,98000.0
1862,Юнусабадский,4,110.0,3,9,88000.0
1863,Мирабадский,3,70.0,2,4,60000.0
1864,Учтепинский,4,80.0,5,5,45000.0
1865,Учтепинский,3,100.0,4,12,54000.0
1866,Яккасарайский,4,110.0,3,10,73000.0
1867,Юнусабадский,1,46.0,7,9,39500.0
1868,Учтепинский,3,78.0,2,4,56000.0
1869,Мирзо-Улугбекский,2,48.0,3,3,33000.0
1870,Юнусабадский,4,99.0,1,4,72000.0
1871,Яккасарайский,1,29.0,9,9,15714.0
1872,Яккасарайский,2,65.0,2,9,52500.0
1873,Мирзо-Улугбекский,2,50.0,1,5,52000.0
1874,Мирабадский,5,300.0,3,8,425000.0
1875,Учтепинский,4,80.0,1,4,58000.0
1876,Учтепинский,2,54.0,5,5,30000.0
1877,Учтепинский,3,90.0,2,5,65000.0
1878,Учтепинский,2,50.0,4,4,33000.0
1879,Учтепинский,4,91.0,2,4,65000.0
1880,Мирабадский,2,61.0,2,4,39000.0
1881,Юнусабадский,3,101.0,8,9,125000.0
1882,Яшнободский,3,74.0,8,9,59500.0
1883,Шайхантахурский,3,72.0,2,9,58999.0
1884,Мирзо-Улугбекский,3,90.0,2,9,51000.0
1885,Яккасарайский,3,65.5,2,4,60800.0
1886,Мирзо-Улугбекский,3,73.0,5,5,39000.0
1887,Мирзо-Улугбекский,2,50.0,1,4,30000.0
1888,Мирзо-Улугбекский,2,40.0,1,3,26000.0
1889,Мирзо-Улугбекский,2,40.0,5,5,31500.0
1890,Яккасарайский,1,44.0,2,9,27000.0
1891,Юнусабадский,2,60.0,4,5,37000.0
1892,Яшнободский,1,59.0,3,6,23600.0
1893,Учтепинский,2,47.0,5,5,32000.0
1894,Учтепинский,4,80.0,1,5,70000.0
1895,Учтепинский,4,80.0,5,5,43000.0
1896,Юнусабадский,3,78.0,4,4,55000.0
1897,Мирзо-Улугбекский,2,60.0,6,9,34000.0
1898,Чиланзарский,2,42.0,4,5,28500.0
1899,Мирзо-Улугбекский,2,42.0,2,5,33500.0
1900,Мирзо-Улугбекский,2,55.0,5,5,35000.0
1901,Учтепинский,1,42.0,2,5,28000.0
1902,Мирзо-Улугбекский,2,55.0,4,4,35000.0
1903,Юнусабадский,2,50.0,4,4,33500.0
1904,Сергелийский,1,44.0,5,7,29000.0
1905,Шайхантахурский,3,70.0,2,4,70000.0
1906,Яккасарайский,2,36.0,1,4,30000.0
1907,Мирзо-Улугбекский,4,138.0,5,9,295000.0
1908,Мирзо-Улугбекский,2,52.0,1,5,31000.0
1909,Яккасарайский,3,75.0,6,8,115000.0
1910,Яшнободский,3,75.0,5,9,64700.0
1911,Мирзо-Улугбекский,2,50.0,3,4,40000.0
1912,Шайхантахурский,3,78.0,6,9,55000.0
1913,Мирабадский,3,61.0,4,4,60000.0
1914,Учтепинский,2,48.0,5,5,27500.0
1915,Учтепинский,1,42.0,3,5,32000.0
1916,Учтепинский,4,80.0,5,5,48000.0
1917,Учтепинский,2,42.0,1,4,32000.0
1918,Яккасарайский,2,98.0,6,8,95000.0
1919,Олмазорский,3,70.0,3,4,41000.0
1920,Яшнободский,3,75.0,4,9,62000.0
1921,Мирзо-Улугбекский,3,130.0,3,9,155000.0
1922,Мирабадский,4,120.0,1,4,135000.0
1923,Сергелийский,3,56.0,1,7,45000.0
1924,Юнусабадский,3,70.0,1,4,60000.0
1925,Чиланзарский,3,98.0,8,10,60000.0
1926,Олмазорский,5,100.0,4,4,54000.0
1927,Мирабадский,4,121.0,5,9,115000.0
1928,Юнусабадский,2,58.0,4,5,33500.0
1929,Мирабадский,4,92.0,2,5,55000.0
1930,Сергелийский,3,80.0,8,9,41000.0
1931,Мирзо-Улугбекский,3,72.0,4,4,41000.0
1932,Бектемирский,1,41.0,2,2,19000.0
1933,Юнусабадский,4,200.0,4,5,220000.0
1934,Юнусабадский,5,280.0,6,8,320000.0
1935,Олмазорский,4,83.0,5,5,40000.0
1936,Яккасарайский,3,72.0,3,4,95000.0
1937,Мирзо-Улугбекский,3,60.0,4,4,29000.0
1938,Яккасарайский,3,76.0,5,9,43500.0
1939,Яккасарайский,1,38.0,2,5,27500.0
1940,Чиланзарский,1,27.0,3,3,19500.0
1941,Яккасарайский,2,58.0,5,5,41000.0
1942,Мирзо-Улугбекский,4,80.0,5,5,47000.0
1943,Мирзо-Улугбекский,3,80.0,4,4,88000.0
1944,Мирзо-Улугбекский,1,36.0,4,4,21000.0
1945,Юнусабадский,5,254.0,1,8,285000.0
1946,Юнусабадский,6,252.0,1,8,285000.0
1947,Учтепинский,1,40.0,2,4,26500.0
1948,Юнусабадский,2,52.0,3,4,75000.0
1949,Мирабадский,2,65.0,5,9,71000.0
1950,Чиланзарский,2,48.0,3,4,31000.0
1951,Юнусабадский,2,85.0,5,9,105000.0
1952,Яшнободский,2,59.0,3,6,25408.0
1953,Чиланзарский,1,32.0,3,4,30000.0
1954,Мирабадский,3,65.0,2,2,32500.0
1955,Мирабадский,2,68.0,5,5,44500.0
1956,Шайхантахурский,3,72.0,8,9,55000.0
1957,Юнусабадский,2,65.0,3,4,76000.0
1958,Олмазорский,3,183.0,3,4,90000.0
1959,Учтепинский,2,50.0,1,4,40000.0
1960,Олмазорский,4,130.0,4,4,80000.0
1961,Яшнободский,1,42.0,4,8,14800.0
1962,Олмазорский,3,96.0,4,5,145000.0
1963,Мирзо-Улугбекский,3,88.0,2,4,132000.0
1964,Чиланзарский,2,84.0,3,7,69000.0
1965,Мирзо-Улугбекский,3,85.0,4,4,84000.0
1966,Юнусабадский,2,60.0,6,9,55000.0
1967,Чиланзарский,3,77.0,1,4,48000.0
1968,Юнусабадский,6,252.0,1,8,285000.0
1969,Чиланзарский,3,60.0,4,4,57500.0
1970,Чиланзарский,4,135.0,4,4,95000.0
1971,Учтепинский,4,97.0,1,9,82000.0
1972,Яккасарайский,2,82.0,6,9,49200.0
1973,Учтепинский,1,40.0,1,4,25500.0
1974,Мирабадский,4,130.0,3,9,105000.0
1975,Яккасарайский,2,64.0,1,5,42000.0
1976,Учтепинский,3,72.0,4,9,43500.0
1977,Мирзо-Улугбекский,1,26.0,1,3,17000.0
1978,Мирзо-Улугбекский,3,100.0,5,7,70000.0
1979,Яшнободский,3,72.0,4,4,80000.0
1980,Мирабадский,2,62.0,9,9,46000.0
1981,Мирабадский,3,75.0,3,4,75000.0
1982,Мирзо-Улугбекский,1,35.0,4,4,29000.0
1983,Мирзо-Улугбекский,1,41.0,1,5,28000.0
1984,Яккасарайский,1,39.0,1,5,26700.0
1985,Юнусабадский,4,94.0,1,9,66000.0
1986,Олмазорский,3,70.0,4,4,37500.0
1987,Мирзо-Улугбекский,3,80.0,3,4,115000.0
1988,Чиланзарский,2,50.0,2,4,46000.0
1989,Мирзо-Улугбекский,4,90.0,2,4,123000.0
1990,Юнусабадский,5,254.0,1,8,285000.0
1991,Мирзо-Улугбекский,2,42.0,2,4,81000.0
1992,Мирзо-Улугбекский,3,90.0,4,7,55500.0
1993,Мирабадский,4,121.0,2,8,140000.0
1994,Учтепинский,4,80.0,3,5,52000.0
1995,Чиланзарский,1,30.0,1,3,25000.0
1996,Мирзо-Улугбекский,3,70.0,3,4,100000.0
1997,Мирзо-Улугбекский,3,105.0,5,5,100000.0
1998,Мирзо-Улугбекский,3,72.0,4,5,67000.0
1999,Мирабадский,5,300.0,3,8,425000.0
2000,Юнусабадский,3,70.0,1,4,72500.0
2001,Яккасарайский,3,105.0,7,10,135000.0
2002,Мирзо-Улугбекский,2,55.0,4,4,60000.0
2003,Чиланзарский,3,72.0,2,4,54000.0
2004,Чиланзарский,4,132.0,3,8,
2005,Мирзо-Улугбекский,1,40.0,3,4,60000.0
2006,Чиланзарский,4,132.0,4,8,
2007,Чиланзарский,4,132.0,3,8,88308.0
2008,Шайхантахурский,3,68.41,4,9,60000.0
2009,Чиланзарский,3,97.0,4,8,64505.0
2010,Мирзо-Улугбекский,2,59.0,2,4,57500.0
2011,Чиланзарский,3,97.0,3,8,64505.0
2012,Мирзо-Улугбекский,2,62.0,9,9,56500.0
2013,Чиланзарский,3,97.0,7,8,67997.0
2014,Яккасарайский,2,46.0,3,5,46500.0
2015,Яшнободский,1,45.0,2,5,26000.0
2016,Юнусабадский,5,140.0,7,7,77000.0
2017,Яккасарайский,1,39.0,5,5,26700.0
2018,Шайхантахурский,4,125.0,1,5,118000.0
2019,Мирабадский,2,43.0,4,4,20800.0
2020,Яшнободский,3,72.0,8,9,64000.0
2021,Шайхантахурский,5,150.0,2,2,138000.0
2022,Шайхантахурский,2,75.0,4,7,47000.0
2023,Чиланзарский,3,97.0,7,8,67997.0
2024,Юнусабадский,1,42.0,3,4,48500.0
2025,Яккасарайский,5,116.0,3,9,88000.0
2026,Чиланзарский,3,97.0,2,8,66445.0
2027,Шайхантахурский,3,68.41,4,9,60000.0
2028,Мирзо-Улугбекский,2,43.0,5,5,49000.0
2029,Чиланзарский,4,132.0,1,8,96096.0
2030,Чиланзарский,4,132.0,1,8,96096.0
2031,Чиланзарский,3,97.0,1,8,72944.0
2032,Мирабадский,3,110.0,5,9,105000.0
2033,Чиланзарский,3,97.0,1,8,72944.0
2034,Сергелийский,4,96.0,8,9,46000.0
2035,Чиланзарский,3,97.0,1,8,72750.0
2036,Яшнободский,1,37.0,2,8,13067.0
2037,Чиланзарский,3,97.0,8,8,59849.0
2038,Чиланзарский,3,97.0,8,8,59849.0
2039,Учтепинский,2,57.0,1,4,40000.0
2040,Мирзо-Улугбекский,3,126.0,5,6,141922.0
2041,Юнусабадский,2,55.0,5,5,29500.0
2042,Мирзо-Улугбекский,2,57.0,5,5,45000.0
2043,Чиланзарский,3,97.0,8,8,59849.0
2044,Чиланзарский,3,97.0,5,8,61692.0
2045,Юнусабадский,3,68.0,3,4,63000.0
2046,Чиланзарский,1,24.0,3,3,20000.0
2047,Мирзо-Улугбекский,3,80.0,2,4,92000.0
